bird-genus,bird-species,bird-sex,plant-genus,plant-species,visitor-mode,mode-confidence,lat,lon,location,elevation,date-observation,source,source-notes,date-accessed,notes
Lesbia,nuna,f,Fuchsia,sp.,P,L,-13.26263,-72.26768,,,12/13/14,https://www.inaturalist.org/observations/31708428,,12/29/19,many photos
Lesbia,nuna,f,Salvia,leucantha,P,H,-13.261798,-72.267329,,,11/1/17,https://www.inaturalist.org/observations/16954077,,12/29/19,
Lesbia,nuna,f,Leonotis,leonurus,P,H,-13.579667,-71.713667,,,4/2/16,https://www.inaturalist.org/observations/8842994,,12/29/19,exotic species (South African) if correctly IDed
Lesbia,nuna,f,Leonotis,leonurus,P,H,-13.414417,-71.843792,,,6/12/15,https://www.inaturalist.org/observations/6073754,,12/29/19,exotic species (South African) if correctly IDed
Lesbia,nuna,f,Nicotiana,glauca,P,H,-13.57937,-71.71347,,,8/20/16,https://www.inaturalist.org/observations/4133555,,12/29/19,
Lesbia,victoriae,f,Streptosolen,jamesonii,NA,NA,-13.259888,-72.266094,,,10/9/19,https://www.inaturalist.org/observations/34915256,,12/29/19,both species pictured perching or hovering among Streptosolen flowers; iffy bird ID
Lesbia,victoriae,f,Streptosolen,jamesonii,NA,NA,4.613563,-74.063861,,,8/13/18,https://www.inaturalist.org/observations/20042996,,12/29/19,both species pictured perching or hovering among Streptosolen flowers
Lesbia,sp.,m,Iochroma,sp.,P,L,-13.49811,-72.53901,,,9/24/14,https://www.inaturalist.org/observations/20151750,,12/29/19,"plant ID as ""Cestrum sp."" by photographer; vaguely resembles Iochroma/Dunalia?"
Lesbia,victoriae,m,Salvia,tortuosa,NA,NA,-0.116635,-78.523447,"San Jorge Eco-lodge Quito, Ecuador",,1/15/15,https://www.flickr.com/photos/bird_charmer/16110522488/,,12/29/19,Crushworth/Crothfels plant ID
Lesbia,nuna,f,Iochroma,sp.,P,L,NA,NA,Peru,,11/15/18,https://www.flickr.com/photos/13978985@N05/32306465988/,,12/29/19,Iochromineae/Cestrum?
Lesbia,nuna,m,Antirrhinum,hispanicum,NR,H,-13.253981,-72.266693,"Ollantaytambo, Peru",,11/6/19,https://www.flickr.com/photos/schwabel/49121253766/,,12/29/19,exotic plant
Lesbia,nuna,f,Abutilon,sp.,NR,L,NA,NA,"Sabana de Bogota, Colombia",,10/11/15,https://www.flickr.com/photos/18682643@N08/21486671724,,12/29/19,
Lesbia,victoriae,m,Lantana,camara,P,L,NA,NA,,NA,10/31/17,https://www.flickr.com/photos/dirks_birds/24838561517/in/photolist-DQU7YD-7RNhxu-6abrk-fuQtUf-R4vUmP-sex7Fx-pQhC7G-hkhDyr-9R9Bsa-xZoLBc-xS5xok-dpSehi-Wfohxv-qi6EbT-piYBZ9-RAv4-pZqoaz-a8a2xP-c2z8M5-fuAupT-7RK2mn-Td9YTr-fv7C8j-H4LfTF-fv7YRE-2dYEzUy-vEbqDk-BkziqJ-rVU7JD-dBnUgp-DfsnC3-t78kaN-DHWpZn-6Ffhio-um7p2R-X2iQuF-6gHH7H-3ZBqg2-s5kkMb-7yQQHp-bvKoNo-wzZEB6-794vcJ-wQaxjy-qtmrwp-wT1a3p-LEJUFt-wzSssb-4MLVyx-pZ1KF7,,12/29/19,"possibly entering through corolla legitimately, but not pollinating (theft)"
Lesbia,nuna,f,Stachytarpheta,cayennensis,P,L,-0.004291,-78.675327,,NA,8/4/13,https://www.flickr.com/photos/neotropical_birds_mayan_ruins/9592348396/; https://www.flickr.com/photos/neotropical_birds_mayan_ruins/9592348396/sizes/o/in/photostream/,,12/29/19,
Lesbia,victoriae,f,Brugmansia,sanguinea,NR2,L,4.606421,-74.055853,"Cerro de Monserrate, Bogota, Colombia",NA,NA,https://andigenabirding.wordpress.com/tag/cerros-orientales/; https://andigenabirding.files.wordpress.com/2019/01/img_0010.jpg,,12/29/19,"looks like there is a huge hole in the calyx already; approximate coordinates for location listed as ""Cerro de Monserrate"""
Ensifera,ensifera,,Brugmansia,sanguinea,P,H,-0.384742,-78.144632,,NA,3/17/18,https://www.inaturalist.org/observations/10903203,,12/27/19,see facebook.com note
Ensifera,ensifera,,Brugmansia,sanguinea,NR2,H,-0.384742,-78.144632,,NA,3/17/18,https://www.inaturalist.org/observations/10903203,,12/27/19,see facebook.com note; visible Diglossa sp. holes!
Diglossa,humeralis,,Brugmansia,sanguinea,NR1,H,-0.469638,-78.434786,,NA,9/9/18,https://www.flickr.com/photos/likaon/30716642118; https://www.flickr.com/photos/likaon/29648952297,Juan Carlos Ríos,12/30/19,in the act of piercing
Diglossa,albilatera,,Abutilon,pictum,NR1,H,-0.016003,-78.680931,,NA,12/5/14,https://www.flickr.com/photos/dragonflyhunter/15614678684,Richard Orr,12/30/19,in the act of piercing
Diglossa,sittoides,,Fuchsia,magellanica,NR1,H,6.020427,-75.447978,,NA,3/2/19,https://www.flickr.com/photos/pris63/32423297987,Priscilla Burcher,12/30/19,in the act of piercing
Diglossa,plumbea,m,Digitalis,purpurea,NR1,H,9.644175,-83.850555,,2650,NA,https://traveltoeat.com/birdwatching-at-the-paraiso-quetzal-lodge-in-costa-rica/; https://traveltoeat.com/wp-content/uploads/2019/03/28261DF0-0C3D-473F-AC22-64E15C8055C2.jpeg,Kurt Buzard ,12/30/19,in the act of piercing; exotic
Diglossa,mystacalis,,Iochroma,sp.,NR1,H,NA,NA,Peru,NA,12/5/17,https://www.flickr.com/photos/sliffmann/38607251575/,,12/30/19,"in the act of piercing; locality listed as ""Peru"""
Diglossopis,cyanea,,Aloe,sp.,NR1,H,-0.112014,-78.584865,"Yanacocha Reserve, Ecuador",,4/12/18,https://www.flickr.com/photos/dagberg/47708957282/,,12/30/19,in the act of piercing; approximate location (Yanacocha Reserve)
Diglossa,humeralis,,Salvia,leucantha,NA,NA,NA,NA,,NA,11/4/14,https://www.flickr.com/photos/magicbirding/15780840415/,,12/30/19,perched
Diglossa,albilatera,,Streptosolen,jamesonii,NA,NA,5.06,-75.5,"Manizales, Colombia",NA,1/5/18,https://www.flickr.com/photos/wilmerquiceno/48900751166,Wilmer Quiceno,12/30/19,"perched; approximate location, with locality listed as ""Manizales, Colombia"""
Diglossa,sittoides,f,Fuchsia,sp.,NR1,H,-6.725134,-77.799301,,NA,10/25/15,https://www.inaturalist.org/observations/35929858,David Beadle,12/30/19,
Diglossa,caerulescens,,Aloe,sp.,NR1,H,-13.26263,-72.26768,,NA,12/12/14,https://www.inaturalist.org/observations/31706788,,12/30/19,species ID on bird may be wrong
Diglossa,sittoides,,Nicotiana,glauca,NA,NA,-13.625583,-71.725278,,NA,4/2/16,https://www.inaturalist.org/observations/9059344,,12/30/19,perched
Diglossa,brunneiventris ,,Nicotiana,glauca,NR1,L,-13.432617,-71.839085,,NA,2/21/17,https://www.inaturalist.org/observations/5151679,,12/30/19,perched and maybe also robbing in last photo
Diglossa,humeralis,,Brugmansia,sanguinea,NR1,H,-0.467955,-78.431221,,NA,9/9/18,https://www.inaturalist.org/observations/34054732,likaon,12/30/19,in the act of piercing
Diglossa,sittoides,,Erythrina,sp.,NA,NA,-0.185716,-78.485062,,NA,7/25/19,https://www.inaturalist.org/observations/29666692,,12/30/19,perched
Diglossa,sittoides,,Callistemon,sp.,NA,NA,-0.188537,-78.344199,,NA,8/1/18,https://www.inaturalist.org/observations/15332742,,12/30/19,perched
Diglossa,cyanea,,Abutilon,sp.,NR1,H,5.064432,-75.442854,,NA,NA,https://www.inaturalist.org/observations/36841812,,12/30/19,"date ""Jan. 1, 1980"" omitted"
Diglossa,albilatera,,Streptosolen,jamesonii,NR1,H,11.112778,-74.033889,,NA,NA,https://www.inaturalist.org/observations/36814033,,12/30/19,"in the act of piercing; date ""Jan. 1, 1980"" omitted"
Diglossa,sp.,,Passiflora,sp.,NA,NA,6.737552,-75.222857,,NA,6/8/19,https://www.inaturalist.org/observations/26774853,,12/30/19,perched
Diglossa,albilatera,,Impatiens,sp.,NA,NA,4.611764,-74.052163,,NA,3/6/19,https://www.inaturalist.org/observations/22333888,,12/30/19,perched
Diglossa,albilatera,,Cavendishia,bracteata,NR1,H,6.169432,-75.275643,,NA,10/12/18,https://www.inaturalist.org/observations/19134788,,12/30/19,in the act of piercing; low certainty in plant ID
NA,NA,,Brugmansia,sanguinea,NR2,H,-0.541838,-78.472242,,3757,7/5/17,https://avianmusing.blogspot.com/2017/08/avian-nectar-robbers.html,Paul Cianfaglione,12/27/19,direct observation of secondary robbing by hummingbird (sp?) and primary robbing by Diglossa humeralis; date and location approximate
Diglossa,humeralis,,Brugmansia,sanguinea,NR1,H,-0.541838,-78.472242,,3757,7/5/17,https://avianmusing.blogspot.com/2017/08/avian-nectar-robbers.html,Paul Cianfaglione,12/27/19,direct observation of secondary robbing by hummingbird (sp?) and primary robbing by Diglossa humeralis; date and location approximate
NA,NA,,Brugmansia,sanguinea,NR1,H,-0.223043,-78.498447,,,12/15/19,https://www.inaturalist.org/observations/36676213,,12/31/19,"diagnostic slit in calyx, perhaps from Diglossa sp."
NA,NA,,Brugmansia,sanguinea,NR1,L,-1.406438,-79.019111,,,11/8/19,https://www.inaturalist.org/observations/35562438,,1/1/20,holes in calyx
NA,NA,,Brugmansia,sanguinea,NR1,H,-0.111419,-78.585063,,,11/2/19,https://www.inaturalist.org/observations/35554090,,1/1/20,hole in calyx
Lesbia,nuna,f,?,?,NA,H,-13.4016,-72.1284,,,12/25/19,https://macaulaylibrary.org/asset/197177521,,1/5/20,mis-IDed nuna as victoriae; hovering near flower
Lesbia,nuna,f,Passiflora,tarminiana,P,L,-13.4016,-72.1284,,,12/25/19,https://macaulaylibrary.org/asset/197177511,,1/5/20,mis-IDed nuna as victoriae; hovering near flower
Lesbia,victoriae,m,Streptosolen,jamesonii,P,L,4.6028,-74.0611,,,12/31/19,"https://macaulaylibrary.org/asset/196848501, https://macaulaylibrary.org/asset/196848491",,1/5/20,"bird definitely visiting flower, but very hard to see mode"
Lesbia,victoriae,m,Ericaceae,NA,NA,H,4.6304,-73.7457,,,7/17/12,https://macaulaylibrary.org/asset/196467061,,1/5/20,
Lesbia,victoriae,m,Brugmansia,sanguinea,NR2,H,4.6088,-74.0586,,,11/24/19,"https://macaulaylibrary.org/asset/191335421, https://macaulaylibrary.org/asset/191335411, https://macaulaylibrary.org/asset/191335401, https://macaulaylibrary.org/asset/191335391",,1/5/20,not sure about species ID
Lesbia,victoriae,f,Fuchsia,boliviensis,NR2,H,-0.1865,-78.4858,,,7/13/19,https://macaulaylibrary.org/asset/189920831,,1/5/20,looks more like L. nuna
Lesbia,victoriae,f,Callistemon,sp.,P/T,L,-0.1656,-78.3613,,,10/28/19,https://macaulaylibrary.org/asset/189007671,,1/5/20,"bird definitely visiting flower, but hard to see mode"
Lesbia,victoriae,f,Erythrina,sp.,NA,L,-0.1896,-78.353,,,6/30/19,https://macaulaylibrary.org/asset/188863721,,1/5/20,
Lesbia,victoriae,m,Brugmansia,sanguinea,NR2,L,-0.459,-78.3239,,,2/2/16,https://macaulaylibrary.org/asset/185650421,,1/5/20,fairly clearly robbing and there is a hole in the calyx
Lesbia,victoriae,f,Fuchsia,sp.,NR2,H,-0.1865,-78.4858,,,9/22/19,https://macaulaylibrary.org/asset/183988601,,1/5/20,"direct NR2 from Comments field: ""Bird was apparently using holes, likely made by a flowerpiercer, to obtain nectar from these ""too long"" flowers."""
Lesbia,victoriae,f,Fuchsia,magellanica,P/T,H,1.1002,-77.1474,,,8/17/19,https://macaulaylibrary.org/asset/179666091,,1/5/20,
Lesbia,victoriae,m,?,?,NA,L,0.2053,-78.207,,,9/14/19,https://macaulaylibrary.org/asset/178684581,,1/5/20,
Lesbia,victoriae,NA,Agapanthus,sp.,T,L,-0.1865,-78.4858,,,8/20/19,"https://macaulaylibrary.org/asset/173368791, https://macaulaylibrary.org/asset/173368731, https://macaulaylibrary.org/asset/173368721, https://macaulaylibrary.org/asset/173368711, https://macaulaylibrary.org/asset/173368691, https://macaulaylibrary.org/asset/173368681",,1/5/20,"A few visits by same bird on same inflorescence, mainly thieving, with one visit perhaps pollinating; bird has no tail; uncertain sex ID"
Lesbia,victoriae,NA,Fuchsia,sp.,NR,,-0.1865,-78.4858,,,8/20/19,https://macaulaylibrary.org/asset/173368781,,1/5/20,same tail-less bird as 173368681-173368791
Lesbia,victoriae,f,Monocot,sp.,P,L,-0.1968,-78.4731,,,8/17/19,https://macaulaylibrary.org/asset/172908921,,1/5/20,
Lesbia,victoriae,m,Salvia,leucantha,NA,L,4.6059,-74.0558,,,1/29/16,https://macaulaylibrary.org/asset/171684051,,1/5/20,
Lesbia,victoriae,f,Salvia,leucantha,NA,L,4.6059,-74.0558,,,1/29/16,https://macaulaylibrary.org/asset/171684041,,1/5/20,
Lesbia,victoriae,m,Fuchsia,sp.,NR,H,-0.1865,-78.4858,,,7/25/19,"https://macaulaylibrary.org/asset/169782221, https://macaulaylibrary.org/asset/169782191",,1/5/20,
Lesbia,victoriae,m,Salvia,leucantha,P,H,4.6059,-74.0558,,,7/13/19,https://macaulaylibrary.org/asset/168395351,,1/5/20,
Lesbia,victoriae,m,?,?,P/T,H,-0.1865,-78.4858,,,7/13/19,"https://macaulaylibrary.org/asset/168227371, 168227361, 168227351, 16822731",,1/5/20,
Lesbia,sp.,m,Streptosolen,jamesonii,NA,H,-13.2624,-72.2676,,,6/12/19,https://macaulaylibrary.org/asset/166896711,,1/5/20,"IDed as L. victoriae on eBird, but looks like maybe L. nuna?"
Lesbia,victoriae,f,Leonotis,leonurus,P,H,-0.1549,-78.3499,,,5/17/19,https://macaulaylibrary.org/asset/164811591,,1/5/20,
Lesbia,victoriae,f,Nicotiana,glauca,P,H,-0.1598,-78.5024,,,3/30/15,https://macaulaylibrary.org/asset/163928231,,1/5/20,
Lesbia,victoriae,f,Lonicera,sp.,P/T,L,-0.1826,-78.4671,,,6/9/19,"https://macaulaylibrary.org/asset/163486521,163486511,163486501, 163486481, ML163486471, ML163486461, ML163486451",,1/5/20,exotic species?
Lesbia,nuna,m,Fuchsia,magellanica,NA,H,-13.1548,-72.5246,,,7/13/12,https://macaulaylibrary.org/asset/151822031,,1/5/20,"IDed as L. victoriae on eBird, but looks like L. nuna, or unclear?"
Lesbia,victoriae,f,Eucalyptus,sp.,P/T,L,-0.1968,-78.4731,,,4/14/19,https://macaulaylibrary.org/asset/151099991,,1/5/20,Ritter ID; exotic species
Lesbia,victoriae,f,Tecoma,capensis,P,L,-0.182,-78.3561,,,2/16/14,https://macaulaylibrary.org/asset/146233411,,1/5/20,
Lesbia,victoriae,f,Canna,sp.,NA,H,-0.1896,-78.353,,,3/16/19,https://macaulaylibrary.org/asset/145665811,,1/5/20,
Lesbia,victoriae,f,?,?,NA,L,-0.1865,-78.4858,,,7/25/09,https://macaulaylibrary.org/asset/145186931,,1/5/20,
Lesbia,victoriae,m,Asteraceae,sp.,P/T,H,-0.8673,-78.914,,,2/16/19,https://macaulaylibrary.org/asset/145142071,,1/5/20,
Lesbia,victoriae,m,Chuquiraga,sp.,P/T,H,-3.5663,-79.4564,,,2/23/19,https://macaulaylibrary.org/asset/143999311,,1/5/20,
Lesbia,victoriae,f,Hibiscus,sp.,NR,L,-0.1896,-78.353,,,2/17/19,https://macaulaylibrary.org/asset/143926201,,1/5/20,"base working, maybe?"
Lesbia,victoriae,m,Leonotis,leonurus,NA,L,-0.1896,-78.353,,,2/6/19,https://macaulaylibrary.org/asset/142897541,,1/5/20,exotic species
Lesbia,victoriae,f,Eucalyptus,?,P/T,L,-0.1968,-78.4731,,,2/23/19,https://macaulaylibrary.org/asset/142186091,,1/5/20,
Lesbia,victoriae,m,Abutilon,sp.,NR,L,-0.166,-78.3607,,,8/25/16,"https://macaulaylibrary.org/asset/139858371, 139858281, 139858291",,1/6/20,"base working, maybe?"
Lesbia,victoriae,m,Abutilon,sp.,NR,L,-0.166,-78.3607,,,8/25/16,https://macaulaylibrary.org/asset/139858061,,1/6/20,
Lesbia,victoriae,m,Leonotis,leonurus,P/T,L,-0.1896,-78.353,,,2/6/19,https://macaulaylibrary.org/asset/139358071,,1/6/20,exotic species
Lesbia,victoriae,f,Callistemon,sp.,NA,H,-0.1896,-78.353,,,7/7/18,https://macaulaylibrary.org/asset/137629631,,1/6/20,
Lesbia,victoriae,m,Abutilon,sp.,NR,H,4.1475,-74.1733,,,1/15/19,"https://macaulaylibrary.org/asset/137271611, 137271591",,1/6/20,
Lesbia,victoriae,m,Abutilon,sp.,NR,H,-0.1656,-78.3613,,,8/24/16,https://macaulaylibrary.org/asset/135230291,,1/6/20,
Lesbia,victoriae,m,Abutilon,sp.,NR,H,-0.1656,-78.3613,,,8/24/16,https://macaulaylibrary.org/asset/135230131,,1/6/20,
Lesbia,victoriae,m,Abutilon,sp.,NR,H,-0.1656,-78.3613,,,8/24/16,https://macaulaylibrary.org/asset/135230041,,1/6/20,
Lesbia,victoriae,f,Leonotis,leonurus,P,L,-0.1656,-78.3613,,,12/1/18,https://macaulaylibrary.org/asset/130315381,,1/6/20,
